sensor_ane,Frequency_MHz,Mean_DANL_dBFS
ANE1,"[50, 98, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-83.72, -62.8, -84.13, -83.91, -83.58, -83.83, -83.98, -83.87, -84.01, -83.68, -83.8, -83.95, -83.86, -83.72, -83.77, -83.54, -83.69, -83.64, -83.59, -83.63, -83.59, -83.41, -83.76, -83.56, -83.58, -83.76, -83.55, -83.59, -83.67, -83.7, -83.77, -83.62, -83.73, -83.6, -83.34, -83.53, -83.48, -83.45, -83.5, -83.36, -83.52, -83.65, -83.6, -83.49, -79.37, -79.23, -79.24, -79.17, -79.09, -79.1, -79.36, -79.1, -79.09, -79.09, -79.02, -79.19, -78.99, -78.91, -79.04, -79.09, -79.05, -79.21, -78.98, -78.88, -78.99, -78.89, -79.0, -79.09, -79.02, -79.04, -79.03, -78.92, -78.94, -78.94, -78.88, -78.97, -78.93, -78.84, -78.86, -78.88, -79.12, -78.88, -80.55, -78.84, -78.91, -78.83, -78.83, -78.87, -78.85, -78.77, -78.69, -78.8, -78.77, -78.69, -78.84, -78.96, -78.91, -78.9, -78.92, -78.7, -78.76, -78.81, -78.72, -78.89, -78.77, -78.79, -78.64, -78.66, -78.81, -78.77, -78.96, -78.83, -78.93, -78.91, -78.9, -78.91, -78.95, -78.96, -78.85, -78.78]"
ANE10,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-85.85, -85.16, -85.09, -85.15, -85.05, -85.26, -85.65, -85.53, -85.44, -85.48, -85.45, -85.72, -85.68, -85.77, -85.69, -85.41, -85.87, -85.83, -85.8, -85.69, -85.86, -85.96, -85.97, -85.92, -85.9, -86.28, -86.21, -90.18, -94.56, -94.62, -93.16, -87.29, -85.9, -86.14, -86.05, -86.1, -86.16, -86.06, -86.23, -86.28, -86.29, -86.59, -86.13, -87.45, -87.37, -87.13, -87.18, -87.07, -92.65, -87.03, -86.98, -86.83, -87.04, -87.71, -87.02, -86.92, -86.83, -86.75, -86.98, -86.85, -86.77, -86.7, -91.7, -86.74, -86.75, -86.94, -86.93, -87.0, -86.87, -87.04, -87.51, -86.79, -86.79, -86.71, -86.94, -86.99, -87.04, -87.23, -87.3, -92.85, -93.72, -90.88, -88.16, -86.75, -86.55, -86.8, -87.34, -86.54, -86.62, -86.65, -86.58, -86.62, -86.76, -86.66, -86.58, -86.99, -86.69, -86.75, -86.55, -87.29, -86.99, -86.92, -86.89, -87.2, -87.13, -87.0, -86.73, -87.0, -87.68, -87.61, -86.88, -87.0, -86.87, -86.78, -86.87, -86.54, -87.21, -86.81, -87.57]"
ANE2,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-89.6, -89.64, -89.59, -89.68, -89.63, -89.6, -89.9, -89.69, -89.86, -90.13, -90.35, -89.98, -90.06, -89.95, -89.77, -90.08, -89.85, -89.83, -89.96, -89.62, -89.57, -89.93, -89.52, -89.38, -89.34, -89.43, -89.31, -89.44, -89.64, -89.71, -90.01, -89.31, -89.73, -89.93, -89.62, -90.1, -89.88, -89.54, -89.79, -89.89, -89.93, -89.95, -90.26, -90.7, -90.64, -90.54, -90.26, -90.38, -90.48, -90.48, -90.47, -90.71, -90.61, -90.98, -90.47, -90.77, -90.85, -90.6, -90.79, -90.5, -90.48, -90.51, -90.51, -90.27, -90.47, -90.74, -90.72, -90.52, -90.59, -90.48, -90.81, -90.86, -90.48, -90.48, -90.47, -90.48, -90.53, -90.49, -90.46, -90.7, -90.43, -90.58, -90.44, -90.06, -90.17, -90.41, -90.38, -90.45, -90.06, -90.16, -90.51, -90.36, -90.48, -90.24, -90.56, -90.3, -90.38, -90.43, -90.18, -90.08, -90.02, -90.3, -90.27, -90.03, -90.2, -90.2, -90.25, -90.65, -90.42, -90.04, -90.34, -90.0, -90.49, -90.45, -90.34, -90.45, -90.33, -90.29, -90.54]"
ANE3,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-91.42, -92.0, -92.14, -90.83, -92.14, -90.77, -91.87, -91.37, -91.33, -91.42, -90.43, -89.72, -88.84, -88.75, -90.38, -88.02, -89.43, -89.49, -88.58, -89.49, -89.85, -90.98, -89.83, -89.73, -88.7, -89.64, -89.2, -89.07, -89.14, -89.17, -88.1, -87.87, -89.02, -87.01, -89.19, -89.44, -89.73, -89.54, -89.71, -89.08, -90.42, -89.01, -85.47, -86.15, -85.48, -86.2, -86.01, -85.71, -85.93, -85.82, -86.12, -85.84, -85.76, -84.78, -84.98, -85.03, -84.81, -84.73, -85.71, -86.18, -85.76, -85.93, -86.0, -86.02, -86.64, -85.76, -85.95, -85.51, -85.73, -85.3, -85.35, -85.66, -86.32, -85.96, -85.33, -85.41, -85.52, -85.95, -85.85, -85.94, -85.48, -85.1, -85.13, -85.88, -85.17, -85.02, -85.26, -84.9, -85.79, -85.53, -85.33, -85.57, -85.86, -85.84, -85.64, -85.78, -85.3, -85.86, -85.52, -85.59, -84.12, -84.66, -84.51, -85.35, -84.87, -85.74, -85.95, -85.01, -84.72, -85.81, -85.35, -84.55, -84.9, -85.65, -85.16, -85.12, -85.23, -84.8, -85.5]"
ANE4,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-80.85, -80.51, -80.83, -81.05, -80.77, -80.62, -80.64, -80.51, -80.56, -80.73, -80.87, -81.0, -80.98, -81.1, -80.9, -81.34, -80.91, -81.29, -81.33, -81.33, -81.59, -81.56, -81.38, -81.12, -81.29, -81.28, -81.14, -81.31, -81.49, -81.46, -87.44, -90.27, -92.35, -81.7, -81.22, -81.46, -81.44, -81.18, -81.94, -81.59, -81.55, -81.42, -82.64, -81.38, -81.22, -81.2, -81.48, -81.34, -81.42, -81.75, -82.42, -81.52, -83.8, -81.32, -82.77, -81.52, -82.49, -82.11, -82.47, -82.26, -83.42, -81.44, -81.54, -81.18, -81.17, -81.12, -81.6, -81.35, -81.36, -80.94, -82.65, -81.31, -81.11, -81.43, -82.93, -82.93, -81.75, -84.09, -81.4, -81.46, -81.56, -82.62, -81.68, -83.75, -81.2, -82.45, -81.06, -82.45, -80.82, -80.97, -81.27, -81.69, -81.42, -81.38, -82.0, -81.64, -82.74, -81.46, -81.78, -83.05, -81.59, -81.88, -84.0, -82.57, -81.24, -80.9, -82.9, -81.37, -81.35, -81.32, -81.11, -81.03, -81.17, -80.95, -82.45, -82.59, -81.38, -81.04, -81.03]"
ANE5,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-97.44, -97.63, -97.9, -97.62, -98.08, -98.12, -97.6, -98.29, -98.81, -98.51, -98.02, -98.2, -98.04, -98.07, -98.35, -98.3, -97.86, -98.24, -98.54, -98.63, -98.5, -98.47, -98.43, -98.68, -98.68, -98.17, -98.47, -99.02, -98.91, -98.65, -99.39, -98.5, -98.85, -99.53, -99.9, -98.53, -98.94, -98.85, -98.54, -98.72, -99.53, -98.45, -98.37, -97.38, -97.61, -98.12, -97.24, -97.98, -99.13, -97.57, -97.66, -97.4, -97.91, -97.43, -97.44, -97.69, -96.96, -97.37, -97.15, -97.46, -97.61, -97.76, -97.45, -98.28, -97.44, -97.44, -98.31, -97.55, -96.99, -97.12, -97.74, -98.08, -98.1, -98.64, -97.88, -97.56, -97.3, -97.96, -98.3, -97.99, -98.29, -98.08, -97.69, -97.28, -98.17, -97.94, -97.52, -97.77, -97.25, -97.84, -97.46, -97.86, -97.83, -97.88, -97.46, -97.77, -98.51, -98.6, -98.48, -98.07, -98.42, -98.57, -97.91, -98.01, -97.71, -98.0, -98.38, -97.63, -97.74, -97.53, -98.12, -97.47, -97.55, -97.55, -97.46, -97.6, -97.79, -97.49, -97.36]"
ANE6,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-105.0, -105.13, -105.61, -104.4, -104.68, -105.45, -104.66, -104.8, -104.83, -105.43, -104.61, -104.69, -104.48, -105.35, -104.46, -104.17, -103.93, -105.01, -105.44, -105.22, -105.54, -105.3, -105.38, -105.15, -106.58, -105.12, -104.69, -105.67, -106.14, -105.28, -105.34, -105.11, -105.95, -104.17, -105.24, -105.9, -106.33, -105.89, -104.97, -105.39, -104.84, -106.44, -107.79, -107.56, -107.56, -108.3, -107.54, -108.0, -108.1, -108.39, -108.22, -108.47, -108.68, -108.26, -108.69, -108.28, -107.9, -108.56, -108.93, -108.75, -108.43, -108.92, -108.7, -108.52, -108.52, -108.47, -108.48, -108.66, -108.49, -108.11, -108.26, -107.97, -107.95, -108.16, -108.75, -108.98, -108.41, -108.4, -108.22, -108.34, -108.35, -107.76, -108.04, -107.78, -108.19, -107.04, -107.31, -107.92, -108.63, -108.55, -108.48, -108.38, -108.62, -107.69, -107.85, -107.87, -108.15, -108.62, -108.91, -108.62, -108.53, -108.5, -108.43, -108.33, -108.72, -108.51, -109.15, -108.9, -108.7, -108.88, -108.7, -108.6, -108.85, -108.31, -108.48, -108.4, -108.75, -108.52, -108.73]"
ANE7,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-89.98, -90.42, -90.29, -89.52, -90.13, -89.19, -89.84, -87.39, -90.15, -90.24, -89.52, -89.56, -89.51, -89.13, -88.02, -88.79, -88.9, -87.05, -89.27, -87.89, -88.69, -89.11, -88.39, -88.14, -89.09, -86.97, -87.34, -87.08, -87.57, -87.87, -88.95, -94.14, -96.35, -94.4, -90.7, -88.48, -88.11, -87.07, -86.51, -87.02, -85.29, -87.16, -85.93, -87.07, -88.66, -89.13, -89.05, -90.1, -88.19, -87.17, -88.09, -88.38, -88.24, -88.16, -87.3, -88.18, -86.98, -86.8, -88.19, -86.94, -86.73, -95.05, -86.77, -86.54, -88.38, -86.66, -86.55, -87.85, -86.63, -89.14, -88.73, -86.77, -87.86, -89.89, -87.7, -88.8, -91.43, -94.98, -93.97, -87.09, -88.84, -86.59, -87.46, -87.55, -86.48, -86.66, -86.34, -85.74, -86.04, -86.53, -85.26, -87.58, -86.82, -87.51, -87.43, -86.77, -89.01, -87.98, -89.22, -88.02, -88.57, -88.59, -87.78, -86.97, -85.49, -87.49, -84.62, -86.71, -85.76, -86.36, -86.74, -85.47, -86.45, -86.45, -87.87, -89.89, -88.57, -85.58, -85.69]"
ANE8,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-86.28, -85.91, -85.62, -86.48, -86.77, -85.64, -84.54, -84.73, -84.52, -84.57, -84.4, -84.79, -84.79, -85.22, -84.97, -84.85, -84.72, -84.75, -86.06, -84.66, -85.21, -84.62, -87.02, -86.08, -84.95, -84.78, -84.88, -84.81, -84.99, -84.82, -91.53, -100.33, -103.22, -101.32, -95.47, -84.57, -84.72, -84.54, -84.78, -84.38, -84.57, -84.42, -85.21, -89.05, -89.48, -90.73, -88.15, -108.36, -86.68, -85.53, -87.99, -88.82, -88.26, -89.43, -89.02, -88.05, -88.89, -88.96, -89.11, -89.31, -88.87, -101.92, -88.83, -89.11, -87.87, -86.41, -88.74, -88.87, -86.86, -89.26, -89.09, -85.65, -86.76, -91.69, -90.58, -86.45, -99.27, -102.64, -100.49, -91.27, -88.84, -88.65, -90.0, -88.78, -90.22, -89.84, -85.2, -88.79, -87.23, -88.74, -87.7, -90.19, -86.59, -90.34, -90.36, -89.98, -89.01, -88.92, -88.5, -87.42, -87.55, -90.93, -87.55, -86.06, -88.77, -86.2, -88.77, -84.88, -86.09, -87.79, -88.59, -91.48, -88.81, -88.2, -88.29, -87.1, -87.14, -86.27, -88.8]"
ANE9,"[50, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1100, 1150, 1200, 1250, 1300, 1350, 1400, 1450, 1500, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2200, 2250, 2300, 2350, 2400, 2450, 2500, 2550, 2600, 2650, 2700, 2750, 2800, 2850, 2900, 2950, 3000, 3050, 3100, 3150, 3200, 3250, 3300, 3350, 3400, 3450, 3500, 3550, 3600, 3650, 3700, 3750, 3800, 3850, 3900, 3950, 4000, 4050, 4100, 4150, 4200, 4250, 4300, 4350, 4400, 4450, 4500, 4550, 4600, 4650, 4700, 4750, 4800, 4850, 4900, 4950, 5000, 5050, 5100, 5150, 5200, 5250, 5300, 5350, 5400, 5450, 5500, 5550, 5600, 5650, 5700, 5750, 5800, 5850, 5900, 5950]","[-98.02, -97.73, -97.68, -97.49, -96.87, -97.51, -97.57, -97.57, -97.15, -97.44, -97.72, -97.64, -97.69, -97.48, -97.56, -97.47, -97.31, -97.38, -97.89, -97.52, -97.83, -97.32, -97.64, -97.88, -97.08, -97.5, -97.67, -99.57, -102.04, -102.36, -100.2, -97.52, -97.57, -97.03, -97.49, -97.3, -97.18, -97.47, -96.75, -96.44, -96.94, -96.96, -97.21, -97.22, -97.14, -97.43, -97.26, -97.51, -99.27, -97.49, -97.56, -97.84, -96.74, -96.86, -97.6, -97.98, -96.66, -97.36, -97.62, -97.94, -97.72, -97.31, -102.5, -97.56, -98.0, -97.48, -97.72, -97.66, -97.92, -97.25, -97.37, -96.9, -97.01, -97.61, -98.05, -97.23, -97.43, -97.73, -97.5, -101.14, -102.36, -98.97, -95.97, -97.12, -97.26, -96.88, -96.14, -96.86, -95.2, -96.4, -96.82, -96.74, -97.42, -97.74, -97.19, -97.02, -96.49, -97.71, -97.81, -96.64, -97.08, -97.84, -97.5, -97.94, -97.71, -97.65, -98.01, -97.94, -97.52, -97.35, -97.6, -97.79, -97.26, -97.04, -97.41, -96.97, -97.28, -97.37, -97.47]"
