sensor_ane,n_points,mean_dbfs,median_dbfs,std_dbfs,min_dbfs,max_dbfs,p10_dbfs,p90_dbfs
ANE1,120,-80.50966666666666,-79.045,2.7978872381135926,-84.13,-62.8,-83.76,-78.779
ANE10,119,-87.03319327731093,-86.78,1.7900283743481187,-94.62,-85.05,-87.624,-85.688
ANE2,119,-90.19773109243698,-90.29,0.3965688368116534,-90.98,-89.31,-90.642,-89.616
ANE3,119,-87.01680672268908,-85.86,2.224806193339208,-92.14,-84.12,-90.422,-84.964
ANE4,119,-81.81050420168067,-81.4,1.550635107029275,-92.35,-80.51,-82.79599999999999,-80.9
ANE5,119,-98.0283193277311,-97.98,0.568659320322257,-99.9,-96.96,-98.688,-97.424
ANE6,119,-107.23731092436975,-108.1,1.5987117151849142,-109.15,-103.93,-108.722,-104.824
ANE7,119,-88.18638655462185,-87.87,2.046531472919053,-96.35,-84.62,-90.134,-86.356
ANE8,119,-88.37403361344538,-87.79,4.349132841548629,-108.36,-84.38,-91.312,-84.72
ANE9,119,-97.62756302521008,-97.49,1.1143045002598058,-102.5,-95.2,-98.002,-96.852
