node,status,reason,rows_common,rows_evaluated,rows_with_offset,offset_coverage,mae_before_db,mae_after_h_db,mae_after_ha_db,improvement_h_db,improvement_ha_db,improvement_ha_vs_h_db,clean_mask_used
Node1-Bogota,fitted,ok,105,105,100,0.9523809523809523,0.845608574770889,0.44874988952171324,0.4488856258992101,0.3968586852491758,0.3967229488716789,-0.0001357363774968645,True
Node10-Bogota,fitted,ok,104,104,98,0.9423076923076923,0.8728514957345102,0.5178694035187663,0.5593940645545361,0.35498209221574384,0.31345743117997404,-0.041524661035769794,True
Node2-Bogota,fitted,ok,105,105,100,0.9523809523809523,0.8368637308599869,0.45292466846421814,0.45473498936082335,0.38393906239576875,0.38212874149916354,-0.001810320896605211,True
Node3-Bogota,fitted,ok,105,105,105,1.0,2.3777795496908176,0.5320670853115761,0.5526874015147465,1.8457124643792415,1.8250921481760711,-0.020620316203170397,True
Node4-Bogota,fitted,ok,105,105,102,0.9714285714285714,0.6981283571544186,0.3993676880474613,0.39261438069032517,0.29876066910695726,0.3055139764640934,0.00675330735713614,True
Node5-Bogota,fitted,ok,105,105,102,0.9714285714285714,0.6540116025603773,0.39826485149756086,0.3767376913890147,0.2557467510628164,0.2772739111713626,0.02152716010854616,True
Node6-Bogota,fitted,ok,105,105,104,0.9904761904761905,1.5673428321965197,0.4637988879535523,0.4708178751122831,1.1035439442429675,1.0965249570842366,-0.007018987158730838,True
Node8-Bogota,fitted,ok,23,23,20,0.8695652173913043,0.9591645613594988,0.3858246994840133,0.34457306720455644,0.5733398618754855,0.6145914941549424,0.041251632279456885,True
Node7-Bogota,reference,"reference node (H=0, A=0)",105,105,105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Node9-Funza,skipped,no frequency overlap with reference,105,0,0,,,,,,,,False
